iteration, max_score, min_score 
0,1114,1114
1,1096,1114
2,1082,1106
3,1070,1096
4,1062,1090
5,1058,1082
6,1058,1074
7,1054,1068
8,1048,1062
9,1036,1056
10,1034,1052
11,1032,1048
12,1026,1040
13,1022,1036
14,1016,1030
15,1010,1026
16,1004,1022
17,1002,1016
18,994,1012
19,994,1008
20,986,1002
21,978,998
22,976,996
23,968,990
24,968,988
25,968,982
26,964,978
27,962,974
28,956,970
29,954,966
30,952,964
31,952,962
32,948,958
33,948,956
34,944,954
35,940,952
36,940,950
37,938,948
38,936,946
39,934,942
40,932,940
41,930,938
42,930,936
43,930,936
44,928,934
45,926,932
46,924,932
47,924,930
48,922,928
49,922,928
50,920,926
51,918,924
52,918,924
53,918,922
54,916,922
55,916,920
56,912,918
57,912,918
58,912,918
59,912,916
60,908,916
61,908,916
62,906,914
63,906,912
64,906,912
65,906,910
66,904,910
67,904,908
68,904,908
69,904,906
70,902,906
71,902,906
72,902,904
73,902,904
74,902,904
75,902,904
76,900,902
77,900,902
78,900,902
79,900,902
80,900,902
81,900,902
82,900,902
83,898,900
84,896,900
85,896,900
86,896,900
87,896,898
88,894,898
89,894,898
90,894,898
91,894,896
92,892,896
93,892,896
94,892,896
95,892,894
96,892,894
97,892,894
98,890,894
99,890,892
100,890,892
101,890,892
102,890,892
103,890,892
104,888,890
105,886,890
106,886,890
107,886,890
108,886,890
109,886,890
110,886,888
111,884,888
112,884,888
113,884,886
114,884,886
115,884,886
116,884,886
117,882,884
118,882,884
119,882,884
120,882,884
121,882,884
122,882,884
123,882,882
124,880,882
125,880,882
126,880,882
127,880,882
128,880,882
129,880,882
130,880,882
131,880,880
132,880,880
133,880,880
134,880,880
135,880,880
136,880,880
137,880,880
138,880,880
139,880,880
140,880,880
141,880,880
142,880,880
143,880,880
144,880,880
145,880,880
146,880,880
147,880,880
148,880,880
149,878,880
150,878,880
151,878,880
152,878,880
153,878,880
154,878,880
155,878,880
156,878,878
157,878,878
158,878,878
159,878,878
160,878,878
161,878,878
162,878,878
163,878,878
164,878,878
165,876,878
166,876,878
167,876,878
168,876,878
169,876,878
170,876,878
171,876,878
172,876,878
173,876,876
174,876,876
175,876,876
176,876,876
177,876,876
178,876,876
179,876,876
180,876,876
181,874,876
182,874,876
183,874,876
184,874,876
185,874,876
186,874,876
187,874,876
188,874,876
189,874,874
190,874,874
191,874,874
192,874,874
193,874,874
194,874,874
195,874,874
196,874,874
197,874,874
198,874,874
199,874,874
200,874,874
201,874,874
202,874,874
203,874,874
204,874,874
205,874,874
206,874,874
207,874,874
208,874,874
209,874,874
210,874,874
211,874,874
212,874,874
213,874,874
214,874,874
215,874,874
216,874,874
217,872,874
218,872,874
219,872,874
220,872,874
221,872,874
222,872,874
223,872,874
224,872,874
225,872,872
226,872,872
227,872,872
228,872,872
229,872,872
230,872,872
231,872,872
232,872,872
233,872,872
234,872,872
235,872,872
236,872,872
237,872,872
238,872,872
239,872,872
240,872,872
241,872,872
242,868,872
243,868,872
244,868,872
245,868,872
246,868,872
247,868,872
248,868,872
249,868,872
250,868,868
251,868,868
252,868,868
253,868,868
254,868,868
255,868,868
256,868,868
257,868,868
258,868,868
259,868,868
260,868,868
261,868,868
262,868,868
263,868,868
264,868,868
265,868,868
266,868,868
267,868,868
268,868,868
269,868,868
270,868,868
271,868,868
272,868,868
273,868,868
274,868,868
275,868,868
276,868,868
277,868,868
278,868,868
279,868,868
280,868,868
281,868,868
282,868,868
283,868,868
284,868,868
285,868,868
286,868,868
287,868,868
288,868,868
289,868,868
290,868,868
291,868,868
292,868,868
293,868,868
294,868,868
295,868,868
296,868,868
297,868,868
298,868,868
299,868,868
300,868,868
301,868,868
302,868,868
303,868,868
304,868,868
305,868,868
